Data;3698 - Taxa de câmbio - Livre - Dólar americano (venda) - Média de período - mensal - u.m.c./US$
01/01/2000;1,8037
01/02/2000;1,7753
01/03/2000;1,742
01/04/2000;1,7682
01/05/2000;1,8279
01/06/2000;1,8083
01/07/2000;1,7978
01/08/2000;1,8092
01/09/2000;1,8392
01/10/2000;1,8796
01/11/2000;1,948
01/12/2000;1,9633
01/01/2001;1,9545
01/02/2001;2,0019
01/03/2001;2,089
01/04/2001;2,1925
01/05/2001;2,2972
01/06/2001;2,3758
01/07/2001;2,466
01/08/2001;2,5106
01/09/2001;2,6717
01/10/2001;2,7402
01/11/2001;2,5431
01/12/2001;2,3627
01/01/2002;2,3779
01/02/2002;2,4196
01/03/2002;2,3466
01/04/2002;2,3204
01/05/2002;2,4804
01/06/2002;2,714
01/07/2002;2,9346
01/08/2002;3,1101
01/09/2002;3,342
01/10/2002;3,8059
01/11/2002;3,5764
01/12/2002;3,6259
01/01/2003;3,4384
01/02/2003;3,5908
01/03/2003;3,4469
01/04/2003;3,1187
01/05/2003;2,9557
01/06/2003;2,8832
01/07/2003;2,8798
01/08/2003;3,0025
01/09/2003;2,9228
01/10/2003;2,8615
01/11/2003;2,9138
01/12/2003;2,9253
01/01/2004;2,8518
01/02/2004;2,9303
01/03/2004;2,9055
01/04/2004;2,906
01/05/2004;3,1004
01/06/2004;3,1291
01/07/2004;3,0368
01/08/2004;3,0029
01/09/2004;2,8911
01/10/2004;2,8529
01/11/2004;2,786
01/12/2004;2,7182
01/01/2005;2,693
01/02/2005;2,5978
01/03/2005;2,7047
01/04/2005;2,5792
01/05/2005;2,4528
01/06/2005;2,4135
01/07/2005;2,3735
01/08/2005;2,3606
01/09/2005;2,2944
01/10/2005;2,2565
01/11/2005;2,2108
01/12/2005;2,2855
01/01/2006;2,2739
01/02/2006;2,1619
01/03/2006;2,152
01/04/2006;2,1293
01/05/2006;2,1781
01/06/2006;2,2483
01/07/2006;2,1893
01/08/2006;2,1559
01/09/2006;2,1687
01/10/2006;2,1483
01/11/2006;2,1579
01/12/2006;2,1499
01/01/2007;2,1385
01/02/2007;2,0963
01/03/2007;2,0887
01/04/2007;2,032
01/05/2007;1,9816
01/06/2007;1,9319
01/07/2007;1,8828
01/08/2007;1,966
01/09/2007;1,8996
01/10/2007;1,801
01/11/2007;1,7699
01/12/2007;1,786
01/01/2008;1,7743
01/02/2008;1,7277
01/03/2008;1,7076
01/04/2008;1,6889
01/05/2008;1,6605
01/06/2008;1,6189
01/07/2008;1,5914
01/08/2008;1,6123
01/09/2008;1,7996
01/10/2008;2,1729
01/11/2008;2,2663
01/12/2008;2,3944
01/01/2009;2,3074
01/02/2009;2,3127
01/03/2009;2,3138
01/04/2009;2,2059
01/05/2009;2,0609
01/06/2009;1,9576
01/07/2009;1,9328
01/08/2009;1,8452
01/09/2009;1,8198
01/10/2009;1,7384
01/11/2009;1,7262
01/12/2009;1,7503
01/01/2010;1,7798
01/02/2010;1,8416
01/03/2010;1,7858
01/04/2010;1,7566
01/05/2010;1,8132
01/06/2010;1,8065
01/07/2010;1,7696
01/08/2010;1,7596
01/09/2010;1,7187
01/10/2010;1,6835
01/11/2010;1,7133
01/12/2010;1,6934
01/01/2011;1,6749
01/02/2011;1,668
01/03/2011;1,6591
01/04/2011;1,5864
01/05/2011;1,6135
01/06/2011;1,587
01/07/2011;1,5639
01/08/2011;1,597
01/09/2011;1,7498
01/10/2011;1,7726
01/11/2011;1,7905
01/12/2011;1,8369
01/01/2012;1,7897
01/02/2012;1,7184
01/03/2012;1,7953
01/04/2012;1,8548
01/05/2012;1,986
01/06/2012;2,0492
01/07/2012;2,0287
01/08/2012;2,0294
01/09/2012;2,0281
01/10/2012;2,0298
01/11/2012;2,0678
01/12/2012;2,0778
01/01/2013;2,0311
01/02/2013;1,9733
01/03/2013;1,9828
01/04/2013;2,0022
01/05/2013;2,0348
01/06/2013;2,173
01/07/2013;2,2522
01/08/2013;2,3422
01/09/2013;2,2705
01/10/2013;2,1886
01/11/2013;2,2954
01/12/2013;2,3455
01/01/2014;2,3822
01/02/2014;2,3837
01/03/2014;2,3261
01/04/2014;2,2328
01/05/2014;2,2209
01/06/2014;2,2355
01/07/2014;2,2246
01/08/2014;2,268
01/09/2014;2,3329
01/10/2014;2,4483
01/11/2014;2,5484
01/12/2014;2,6394
01/01/2015;2,6342
01/02/2015;2,8165
01/03/2015;3,1395
01/04/2015;3,0432
01/05/2015;3,0617
01/06/2015;3,1117
01/07/2015;3,2231
01/08/2015;3,5143
01/09/2015;3,9065
01/10/2015;3,8801
01/11/2015;3,7765
01/12/2015;3,8711
01/01/2016;4,0524
01/02/2016;3,9737
01/03/2016;3,7039
01/04/2016;3,5658
01/05/2016;3,5393
01/06/2016;3,4245
01/07/2016;3,2756
01/08/2016;3,2097
01/09/2016;3,2564
01/10/2016;3,1858
01/11/2016;3,342
01/12/2016;3,3523
01/01/2017;3,1966
01/02/2017;3,1042
01/03/2017;3,1279
01/04/2017;3,1362
01/05/2017;3,2095
01/06/2017;3,2954
01/07/2017;3,2061
01/08/2017;3,1509
01/09/2017;3,1348
01/10/2017;3,1912
01/11/2017;3,2594
01/12/2017;3,2919
01/01/2018;3,2106
01/02/2018;3,2415
01/03/2018;3,2792
01/04/2018;3,4075
01/05/2018;3,6361
01/06/2018;3,7732
01/07/2018;3,8288
01/08/2018;3,9298
01/09/2018;4,1165
01/10/2018;3,7584
01/11/2018;3,7867
01/12/2018;3,8851
01/01/2019;3,7417
01/02/2019;3,7236
01/03/2019;3,8465
01/04/2019;3,8962
